Datum,Wohnungsart,Zimmeranzahl,Wohnungsgrösse_m2,Verkaufspreis,Wohnungs_Adresse
2022-12-11,Neubau,"2,5 Zimmer",93 m²,CHF 560 000.—,"Bernstrasse 48, 3125 Toffen, BE"
2022-12-11,Neubau,"3,5 Zimmer",87 m²,CHF 635 000.—,"Tramstrasse 71, 5034 Suhr, AG"
2022-12-11,Neubau,"4,5 Zimmer",155 m²,CHF 980 000.—,"1400 Yverdon-les-Bains, VD"
2022-12-11,Neubau,"4,5 Zimmer",124 m²,CHF 990 000.—,"Weiherstrasse, 8580 Amriswil, TG"
2022-12-11,Neubau,"3,5 Zimmer",101 m²,CHF 830 000.—,"Weiherstrasse, 8580 Amriswil, TG"
2022-12-11,Neubau,"5,5 Zimmer",130 m²,CHF 1 485 000.—,"1820 Montreux, VD"
2022-12-11,Neubau,"4,5 Zimmer",116 m²,CHF 830 000.—,"Mühlematten 4, 4455 Zunzgen, BL"
2022-12-11,Neubau,"3,5 Zimmer",101 m²,CHF 695 000.—,"Mühlematten 4, 4455 Zunzgen, BL"
2022-12-11,Neubau,"2,5 Zimmer",87 m²,CHF 545 000.—,"Mühlematten 4, 4455 Zunzgen, BL"
2022-12-11,Neubau,"4,5 Zimmer",n/a,Preis auf Anfrage,"Bündtenstrasse 7, 5612 Villmergen, AG"
2022-12-11,Neubau,"2,5 Zimmer",n/a,Preis auf Anfrage,"Bündtenstrasse 7, 5612 Villmergen, AG"
2022-12-11,Neubau,"3,5 Zimmer",n/a,Preis auf Anfrage,"Bündtenstrasse 7, 5612 Villmergen, AG"
2022-12-11,Neubau,"3,5 Zimmer",100 m²,CHF 710 000.—,"Luzernstrasse, 5634 Merenschwand, AG"
2022-12-11,Neubau,"2,5 Zimmer",78 m²,CHF 550 000.—,"Luzernstrasse, 5634 Merenschwand, AG"
2022-12-11,Neubau,"2,5 Zimmer",66 m²,CHF 395 000.—,"Au village 23, 1732 Arconciel, FR"
2022-12-11,Neubau,"2,5 Zimmer",65 m²,CHF 390 000.—,"Au village 23, 1732 Arconciel, FR"
2022-12-11,Neubau,"3,5 Zimmer",115 m²,CHF 595 000.—,"Au village 23, 1732 Arconciel, FR"
2022-12-11,Neubau,"4,5 Zimmer",168 m²,CHF 1 600 000.—,"Wiesenstrasse 11, 9436 Balgach, SG"
2022-12-11,Neubau,"3,5 Zimmer",94 m²,CHF 710 000.—,"Wiesenstrasse 11, 9436 Balgach, SG"
2022-12-11,Neubau,"2,5 Zimmer",70 m²,CHF 495 000.—,"Weiherstrasse, 8580 Amriswil, TG"
2022-12-11,Neubau,"5,5 Zimmer",159 m²,CHF 1 190 000.—,"Weiherstrasse, 8580 Amriswil, TG"
2022-12-11,Neubau,n/a,n/a,CHF 547 000.—,"2800 Delémont, JU"
2022-12-11,Neubau,"4,5 Zimmer",101 m²,CHF 820 000.—,"Papillonallee 42, 3172 Niederwangen b. Bern, BE"
2022-12-11,Neubau,"5,5 Zimmer",166 m²,CHF 1 390 000.—,"Rheinstrasse 6, 4323 Wallbach, AG"
2022-12-11,Neubau,"2,5 Zimmer",102 m²,CHF 710 000.—,"Dükerweg, 3612 Steffisburg, BE"
2022-12-11,Neubau,"5,5 Zimmer",n/a,CHF 1 280 000.—,"1907 Saxon, VS"
2022-12-11,Neubau,"6,5 Zimmer",237 m²,CHF 2 500 000.—,"1873 Les Crosets, VS"
2022-12-11,Neubau,"3,5 Zimmer",n/a,CHF 630 000.—,"Bahnhofstrasse, 6105 Schachen LU, LU"
2022-12-11,Neubau,"2,5 Zimmer",n/a,CHF 400 000.—,"Bahnhofstrasse, 6105 Schachen LU, LU"
2022-12-11,Neubau,"4,5 Zimmer",n/a,CHF 790 000.—,"Bahnhofstrasse, 6105 Schachen LU, LU"
2022-12-11,Neubau,"3,5 Zimmer",83 m²,CHF 450 000.—,"Rue du Château, 2720 Tramelan, BE"
2022-12-11,serp_responsive#badge_new_building_lite,"4,5 Zimmer",120 m²,CHF 570 000.—,"Rue du Château, 2720 Tramelan, BE"
2022-12-11,serp_responsive#badge_new_building_lite,"2,5 Zimmer",73 m²,Preis auf Anfrage,"1803 Chardonne, VD"
