Datum,Wohnungsart,Zimmeranzahl,Wohnungsgrösse_m2,Verkaufspreis,Wohnungs_Adresse,Kanton,Latitude/Longitude,clean
2022-12-21,unbekannt,1.5,43,295000,"Schwendistrasse 32, 8898 Flumserberg Tannenbodenalp, SG",SG,"(None, None)",clean
2022-12-21,unbekannt,2.5,57,650000,"Talstrasse 22, 7270 Davos Platz, GR",GR,"(46.7952184, 9.8245211)",clean
2022-12-21,unbekannt,3.5,79,430000,"Bürgstrasse 14b, 3700 Spiez, BE",BE,"(46.683455300000006, 7.694656353377102)",clean
2022-12-21,unbekannt,3.5,95,660000,"Sankt Gallerstrasse 152, 9320 Arbon, TG",TG,"(None, None)",clean
2022-12-21,serp_responsive#badge_new_building_lite,3.5,95,680000,"Sankt Gallerstrasse 152, 9320 Arbon, TG",TG,"(None, None)",clean
2022-12-21,unbekannt,5.5,111,645000,"7220 Schiers, GR",GR,"(46.97061073262412, 9.688098694858157)",clean
2022-12-21,unbekannt,4.5,197,1790000,"Unterdorfstrasse 29, 9443 Widnau, SG",SG,"(47.409422500000005, 9.634641917457813)",clean
2022-12-21,unbekannt,122.0,0,895000,"Unterdorfstrasse 29, 9443 Widnau, SG",SG,"(47.409422500000005, 9.634641917457813)",clean
2022-12-21,unbekannt,4.5,134,1190000,"Stampfstrasse 27, 8645 Jona, SG",SG,"(47.2254328, 8.8449964)",clean
2022-12-21,unbekannt,4.5,118,790000,"Hechtackerstrasse 22, 9014 St. Gallen, SG",SG,"(47.4087595, 9.3416381)",clean
2022-12-21,unbekannt,4.5,101,1250000,"Stegstrasse 4, 8132 Egg b. Zürich, ZH",ZH,"(None, None)",clean
2022-12-21,unbekannt,3.5,75,570000,"Chemin de Pra-Jean 17, 1615 Bossonnens, FR",FR,"(46.5238677, 6.8563405)",clean
2022-12-21,unbekannt,4.5,118,714000,"Schanzenstrasse, 3775 Lenk im Simmental, BE",BE,"(None, None)",clean
2022-12-21,unbekannt,5.5,147,840000,"Häbnistrasse 22, 5704 Egliswil, AG",AG,"(47.351445850000005, 8.184148357763311)",clean
2022-12-21,unbekannt,3.5,94,765000,"Normannenweg 24, 3232 Ins, BE",BE,"(47.000484, 7.1038672)",clean
2022-12-21,unbekannt,5.5,147,2030000,"Weichselmattstrasse 10, 4103 Bottmingen, BL",BL,"(47.5228367, 7.57552108670213)",clean
